roi_id,site_id,soil,mesquite,pixel_size
r-595,NORT,0.041,0.959,1
r-596,NORT,0,1,1
r-597,NORT,1,0,1
r-598,NORT,0,1,1
r-599,NORT,1,0,1
r-600,NORT,0,1,1
r-601,NORT,1,0,1
r-602,NORT,1,0,1
r-603,NORT,1,0,1
r-604,NORT,0.711,0.289,1
r-605,NORT,1,0,1
r-606,NORT,0.851,0.149,1
r-607,NORT,1,0,1
r-608,NORT,1,0,1
r-609,NORT,1,0,1
r-610,NORT,0.405,0.595,1
r-611,NORT,1,0,1
r-612,NORT,1,0,1
r-613,NORT,1,0,1
r-614,NORT,1,0,1
r-615,NORT,1,0,1
r-616,NORT,1,0,1
r-617,NORT,1,0,1
r-618,NORT,1,0,1
r-619,NORT,0,1,1
r-620,NORT,1,0,1
r-621,NORT,1,0,1
r-622,NORT,1,0,1
r-623,NORT,1,0,1
r-624,NORT,1,0,1
r-625,NORT,1,0,1
r-626,NORT,0,1,1
r-627,NORT,1,0,1
r-628,NORT,0.636,0.364,1
r-629,NORT,0.521,0.479,1
r-630,NORT,1,0,1
r-631,NORT,1,0,1
r-632,NORT,1,0,1
r-633,NORT,0.983,0.017,1
r-634,NORT,0.835,0.165,1
r-635,NORT,0,1,1
r-636,NORT,1,0,1
r-637,NORT,1,0,1
r-638,NORT,0.727,0.273,1
r-639,NORT,0.273,0.727,1
r-640,NORT,1,0,1
r-641,NORT,1,0,1
r-642,NORT,0,1,1
r-643,NORT,0.835,0.165,1
r-644,NORT,1,0,1
r-645,NORT,1,0,1
r-646,NORT,1,0,1
r-647,NORT,0.901,0.099,1
r-648,NORT,1,0,1
r-649,NORT,0.182,0.818,1
r-650,NORT,0,1,1
r-651,NORT,0,1,1
r-652,NORT,0.322,0.678,1
r-653,NORT,1,0,1
r-654,NORT,0,1,1
r-655,NORT,0,1,1
r-656,NORT,0.992,0.008,1
r-657,NORT,1,0,1
r-658,NORT,0.595,0.405,1
r-659,NORT,0,1,1
r-660,NORT,0.083,0.917,1
r-661,NORT,0.455,0.545,1
r-662,NORT,0.017,0.983,1
r-663,NORT,1,0,1
r-664,NORT,0,1,1
r-665,NORT,0.413,0.587,1
r-666,NORT,0,1,1
r-667,NORT,0.008,0.992,1
r-668,NORT,1,0,1
r-669,NORT,0,1,1
r-670,NORT,0.983,0.017,1
r-671,NORT,0,1,1
r-672,NORT,0,1,1
r-673,NORT,0.86,0.14,1
r-674,NORT,1,0,1
r-675,NORT,1,0,1
r-676,NORT,0.926,0.074,1
r-677,NORT,1,0,1
r-678,NORT,1,0,1
r-679,NORT,0,1,1
r-680,NORT,1,0,1
r-681,NORT,1,0,1
r-682,NORT,0.926,0.074,1
r-683,NORT,1,0,1
r-685,NORT,1,0,1
r-686,NORT,1,0,1
r-687,NORT,1,0,1
r-688,NORT,1,0,1
r-689,NORT,1,0,1
r-690,NORT,1,0,1
r-691,NORT,0,1,1
r-692,NORT,0,1,1
r-693,NORT,0,1,1
r-694,NORT,1,0,1
r-695,NORT,0.066,0.934,1
r-696,NORT,1,0,1
r-697,NORT,0,1,1
r-698,NORT,1,0,1
r-699,NORT,1,0,1
r-700,NORT,1,0,1
r-701,NORT,0.05,0.95,1
r-702,NORT,0.132,0.868,1
r-703,NORT,0.14,0.86,1
