scale,site_id,plant,roi_id,roi_type,primary_roi_id,ndvi,date
0.5,P9,grass,5-0.5-2,subset,5,0.15947970747947693,2019-04-18
0.5,P9,grass,5-0.5-3,subset,5,0.16137273609638214,2019-04-18
0.5,P9,grass,5-0.5-4,subset,5,0.12257923930883408,2019-04-18
0.5,P9,grass,5-0.5-5,subset,5,0.1301030069589615,2019-04-18
0.5,P9,grass,5-0.5-6,subset,5,0.15262944996356964,2019-04-18
0.5,P9,grass,5-0.5-7,subset,5,0.14773188531398773,2019-04-18
0.5,P9,grass,5-0.5-8,subset,5,0.1098601445555687,2019-04-18
1,P9,grass,5-1-1,subset,5,0.15901456773281097,2019-04-18
1,P9,grass,5-1-2,subset,5,0.15585224330425262,2019-04-18
1,P9,grass,5-1-3,subset,5,0.13659484684467316,2019-04-18
1,P9,grass,5-1-4,subset,5,0.13477452099323273,2019-04-18
2,P9,grass,5-2-1,subset,5,0.1434253752231598,2019-04-18
2,P9,grass,5-2-2,subset,5,0.14101003110408783,2019-04-18
2,P9,grass,5-2-3,subset,5,0.14458291232585907,2019-04-18
0.5,P9,grass,6-0.5-1,subset,6,0.10782473534345627,2019-04-18
0.5,P9,grass,6-0.5-2,subset,6,0.10927487909793854,2019-04-18
0.5,P9,grass,6-0.5-3,subset,6,0.09542541950941086,2019-04-18
0.5,P9,grass,6-0.5-4,subset,6,0.08899769932031631,2019-04-18
0.5,P9,grass,6-0.5-5,subset,6,0.09467639029026031,2019-04-18
0.5,P9,grass,6-0.5-6,subset,6,0.10877412557601929,2019-04-18
0.5,P9,grass,6-0.5-7,subset,6,0.09054749459028244,2019-04-18
0.5,P9,grass,6-0.5-8,subset,6,0.09801136702299118,2019-04-18
1,P9,grass,6-1-1,subset,6,0.13181984424591064,2019-04-18
1,P9,grass,6-1-2,subset,6,0.09259017556905746,2019-04-18
1,P9,grass,6-1-3,subset,6,0.11154396831989288,2019-04-18
1,P9,grass,6-1-4,subset,6,0.09638363867998123,2019-04-18
2,P9,grass,6-2-1,subset,6,0.10672694444656372,2019-04-18
2,P9,grass,6-2-2,subset,6,0.11949894577264786,2019-04-18
2,P9,grass,6-2-3,subset,6,0.10790769010782242,2019-04-18
0.5,P9,grass,7-0.5-1,subset,7,0.14936375617980957,2019-04-18
0.5,P9,grass,7-0.5-2,subset,7,0.16669471561908722,2019-04-18
0.5,P9,grass,7-0.5-3,subset,7,0.1863502413034439,2019-04-18
0.5,P9,grass,7-0.5-4,subset,7,0.12563300132751465,2019-04-18
0.5,P9,grass,7-0.5-5,subset,7,0.1391681283712387,2019-04-18
0.5,P9,grass,7-0.5-6,subset,7,0.1406271904706955,2019-04-18
0.5,P9,grass,7-0.5-7,subset,7,0.1437283456325531,2019-04-18
0.5,P9,grass,7-0.5-8,subset,7,0.15477150678634644,2019-04-18
1,P9,grass,7-1-1,subset,7,0.13276085257530212,2019-04-18
1,P9,grass,7-1-2,subset,7,0.12915940582752228,2019-04-18
1,P9,grass,7-1-3,subset,7,0.14240974187850952,2019-04-18
1,P9,grass,7-1-4,subset,7,0.12922883033752441,2019-04-18
2,P9,grass,7-2-1,subset,7,0.1416989266872406,2019-04-18
2,P9,grass,7-2-2,subset,7,0.14340223371982574,2019-04-18
2,P9,grass,7-2-3,subset,7,0.1508083939552307,2019-04-18
0.5,P9,grass,8-0.5-1,subset,8,0.10550333559513092,2019-04-18
0.5,P9,grass,8-0.5-2,subset,8,0.11626201868057251,2019-04-18
0.5,P9,grass,8-0.5-3,subset,8,0.10530214011669159,2019-04-18
0.5,P9,grass,8-0.5-4,subset,8,0.11094112694263458,2019-04-18
0.5,P9,grass,8-0.5-5,subset,8,0.10796711593866348,2019-04-18
0.5,P9,grass,8-0.5-6,subset,8,0.13570021092891693,2019-04-18
0.5,P9,grass,8-0.5-7,subset,8,0.13310542702674866,2019-04-18
0.5,P9,grass,8-0.5-8,subset,8,0.11966599524021149,2019-04-18
1,P9,grass,8-1-1,subset,8,0.12843242287635803,2019-04-18
1,P9,grass,8-1-2,subset,8,0.1106567233800888,2019-04-18
1,P9,grass,8-1-3,subset,8,0.11525934934616089,2019-04-18
1,P9,grass,8-1-4,subset,8,0.11030165106058121,2019-04-18
2,P9,grass,8-2-1,subset,8,0.12934547662734985,2019-04-18
2,P9,grass,8-2-2,subset,8,0.11487607657909393,2019-04-18
2,P9,grass,8-2-3,subset,8,0.11554902791976929,2019-04-18
0.5,P9,grass,9-0.5-1,subset,9,0.1302216351032257,2019-04-18
0.5,P9,grass,9-0.5-2,subset,9,0.1713993400335312,2019-04-18
0.5,P9,grass,9-0.5-3,subset,9,0.14961005747318268,2019-04-18
0.5,P9,grass,9-0.5-4,subset,9,0.1324315369129181,2019-04-18
0.5,P9,grass,9-0.5-5,subset,9,0.14214038848876953,2019-04-18
0.5,P9,grass,9-0.5-6,subset,9,0.12078755348920822,2019-04-18
0.5,P9,grass,9-0.5-7,subset,9,0.13399450480937958,2019-04-18
0.5,P9,grass,9-0.5-8,subset,9,0.11530644446611404,2019-04-18
1,P9,grass,9-1-1,subset,9,0.13181422650814056,2019-04-18
1,P9,grass,9-1-2,subset,9,0.13401897251605988,2019-04-18
1,P9,grass,9-1-3,subset,9,0.12282039225101471,2019-04-18
1,P9,grass,9-1-4,subset,9,0.155193492770195,2019-04-18
2,P9,grass,9-2-1,subset,9,0.14641456305980682,2019-04-18
2,P9,grass,9-2-2,subset,9,0.1326371431350708,2019-04-18
2,P9,grass,9-2-3,subset,9,0.12881405651569366,2019-04-18
0.5,P9,grass,10-0.5-1,subset,10,0.14897072315216064,2019-04-18
0.5,P9,grass,10-0.5-2,subset,10,0.15060438215732574,2019-04-18
0.5,P9,grass,10-0.5-3,subset,10,0.16721776127815247,2019-04-18
0.5,P9,grass,10-0.5-4,subset,10,0.13228315114974976,2019-04-18
0.5,P9,grass,10-0.5-5,subset,10,0.14747659862041473,2019-04-18
0.5,P9,grass,10-0.5-6,subset,10,0.161810964345932,2019-04-18
0.5,P9,grass,10-0.5-7,subset,10,0.17438027262687683,2019-04-18
0.5,P9,grass,10-0.5-8,subset,10,0.16819874942302704,2019-04-18
1,P9,grass,10-1-1,subset,10,0.1523667424917221,2019-04-18
1,P9,grass,10-1-2,subset,10,0.14825809001922607,2019-04-18
1,P9,grass,10-1-3,subset,10,0.14649012684822083,2019-04-18
